sample	fastq_frag_count	genome_mapped	tophat_genome_mapped	star_genome_mapped	trans_mapped	trans_mapped	rRNA_count	rRNA	gene_count	tube	mass	mar
GBMT_A01_S193	503253	224845	44.68	0	184489	36.66	9952	1.98	1483	96	41.78507	0.7221593
GBMT_A02_S194	933	560	60.02	-0.11	91	9.75	7	0.75	82	88	56.51323	0.9314387
GBMT_A03_S195	1229588	907650	73.82	0	425499	34.61	75524	6.14	5059	80	71.09398	0.5874275
GBMT_A04_S196	1391	640	46.01	-0.07	140	10.06	13	0.93	122	72	68.72712	-0.6888816
GBMT_A05_S197	380312	146085	38.41	0	85705	22.54	8571	2.25	1707	64	96.93258	0.4943048
GBMT_A06_S198	964500	91789	9.52	0	59879	6.21	5987	0.62	686	56	67.35614	1.129208
GBMT_A07_S199	267236	79122	29.61	0	51873	19.41	3910	1.46	1201	48	51.75486	0.273035
GBMT_A08_S200	955910	693123	72.51	0	527443	55.18	87426	9.15	4010	40	63.54998	-0.1093346
GBMT_A09_S201	909	555	61.06	-0.11	303	33.33	34	3.74	228	32	32.18752	-0.7861867
GBMT_A10_S202	2056226	1622760	78.92	0	1106378	53.81	138946	6.76	5397	24	70.11431	0.2538315
GBMT_A11_S203	474806	222273	46.81	0	139090	29.29	15093	3.18	2207	16	50.08922	0.5581789
GBMT_A12_S204	187	95	50.8	-0.53	44	23.53	9	4.81	43	8	56.00231	2.104657
GBMT_B01_S205	822465	177498	21.58	0	63701	7.75	93317	11.35	1832	95	34.83922	0.3674736
GBMT_B02_S206	1170299	97126	8.3	0	56948	4.87	1738	0.15	712	87	45.18796	0.05637592
GBMT_B03_S207	718	255	35.52	-0.14	91	12.67	8	1.11	44	79	97.84956	2.02359
GBMT_B04_S208	1438	530	36.86	-0.07	59	4.1	2	0.14	43	71	-9999999	-9999999
GBMT_B05_S209	391028	168529	43.1	0	116318	29.75	20397	5.22	1754	63	100.4263	0.4070891
GBMT_B06_S210	1411109	742129	52.59	0	593557	42.06	47531	3.37	2399	55	81.88275	0.2079011
GBMT_B07_S211	583180	337523	57.88	0	276097	47.34	13495	2.31	2437	47	-9999999	-9999999
GBMT_B08_S212	965410	520059	53.87	0	414419	42.93	32273	3.34	2757	39	59.75234	0.6352659
GBMT_B09_S213	684553	551738	80.6	0	286132	41.8	36570	5.34	5700	31	-9999999	-9999999
GBMT_B10_S214	2270	1572	69.25	-0.04	205	9.03	7	0.31	144	23	48.03866	-0.2714992
GBMT_B11_S215	593542	158612	26.72	0	100974	17.01	11243	1.89	1592	15	52.84859	3.242329
GBMT_B12_S216	1688347	783986	46.44	0	664279	39.34	18696	1.11	2266	7	62.73249	2.342645
GBMT_C01_S217	1866504	1453527	77.87	0	742660	39.79	129644	6.95	5411	94	70.13588	1.164518
GBMT_C02_S218	2099989	1723230	82.06	0	916792	43.66	130668	6.22	7428	86	70.85175	-0.580804
GBMT_C03_S219	1896253	1631203	86.02	0	855092	45.09	131337	6.93	8377	78	51.7634	0.5591879
GBMT_C04_S220	846571	553410	65.37	0	424868	50.19	49075	5.8	3542	70	66.02038	0.07138435
GBMT_C05_S221	2116981	1445400	68.28	0	1113135	52.58	81734	3.86	3361	62	86.21355	1.20207
