sample	fastq_frag_count	genome_mapped	tophat_genome_mapped	star_genome_mapped	trans_mapped	trans_mapped	rRNA_count	rRNA	gene_count	tube	mass	mar
GBMUT_A01_S97	317955	180391	56.73	0	59673	18.77	39784	12.51	4981	1	54.50544	1.744243
GBMUT_A02_S98	434132	271264	62.48	0	108234	24.93	68978	15.89	6954	9	64.09019	3.080611
GBMUT_A03_S99	483007	327531	67.81	0	143392	29.69	84162	17.42	7589	17	71.89162	3.657524
GBMUT_A04_S100	357771	244661	68.38	0	116379	32.53	67241	18.79	7188	25	75.18498	1.440027
GBMUT_A05_S101	214291	111051	51.82	0	39555	18.46	19774	9.23	4628	33	56.85854	1.170588
GBMUT_A06_S102	683470	477423	69.85	0	218093	31.91	128039	18.73	8476	41	84.80994	1.852646
GBMUT_A07_S103	558870	393507	70.41	0	185162	33.13	101454	18.15	5881	49	42.56497	1.200628
GBMUT_A08_S104	1699761	1057707	62.23	0	587249	34.55	132572	7.8	5236	57	76.94303	3.33881
GBMUT_A09_S105	432577	263315	60.87	0	108078	24.98	57304	13.25	6905	65	63.93487	2.761506
GBMUT_A10_S106	695788	468071	67.27	0	210367	30.23	126693	18.21	6720	73	68.858	1.80924
GBMUT_A11_S107	301656	149317	49.5	0	59292	19.66	42252	14.01	3104	81	77.16251	2.770784
GBMUT_A12_S108	552706	371182	67.16	0	173268	31.35	106738	19.31	5947	89	54.99614	1.864271
GBMUT_B01_S109	194919	139367	71.5	0	63005	32.32	30566	15.68	6246	2	63.13156	6.619949
GBMUT_B02_S110	214130	151119	70.57	0	72681	33.94	43526	20.33	6067	10	71.38391	2.995764
GBMUT_B03_S111	87375	65165	74.58	0	32867	37.62	18126	20.75	5398	18	57.33433	1.04435
GBMUT_B04_S112	253981	196322	77.3	0	103833	40.88	50556	19.91	7363	26	101.8953	3.266821
GBMUT_B05_S113	49523	8500	17.16	0	118	0.24	10	0.02	91	34	49.46957	1.712086
GBMUT_B06_S114	166838	108674	65.14	0	48078	28.82	22424	13.44	5542	42	49.98244	0.6599024
GBMUT_B07_S115	394944	239669	60.68	0	126021	31.91	29082	7.36	3816	50	66.83273	1.182043
GBMUT_B08_S116	418997	237304	56.64	0	139729	33.35	50544	12.06	3232	58	49.5077	1.983825
GBMUT_B09_S117	151320	97823	64.65	0	40750	26.93	20046	13.25	4248	66	41.7923	0.09119038
GBMUT_B10_S118	197078	119402	60.59	0	52608	26.69	29920	15.18	5275	74	50.10366	3.423006
GBMUT_B11_S119	215125	150876	70.13	0	75846	35.26	37090	17.24	5992	82	60.80339	0.3301749
GBMUT_B12_S120	137264	81477	59.36	0	46322	33.75	22016	16.04	3691	90	59.48825	1.788685
GBMUT_C01_S121	320726	210124	65.52	0	80372	25.06	47429	14.79	6232	3	42.08511	2.544724
GBMUT_C02_S122	3969675	3063854	77.18	0	1564308	39.41	748615	18.86	7794	11	72.16494	0.992116
GBMUT_C03_S123	283680	194762	68.66	0	88270	31.12	45372	15.99	6297	19	48.78094	0.00715212
GBMUT_C04_S124	387805	274061	70.67	0	132939	34.28	59171	15.26	7259	27	73.57529	1.472459
GBMUT_C05_S125	312878	174591	55.8	0	87317	27.91	45600	14.57	3789	35	40.08712	1.625011
GBMUT_C06_S126	319710	200585	62.74	0	96801	30.28	61231	19.15	5670	43	56.90777	1.30665
GBMUT_C07_S127	291511	191496	65.69	0	83518	28.65	43972	15.08	6363	51	57.29656	1.802779
GBMUT_C08_S128	1114383	391859	35.16	0	192761	17.3	52207	4.68	2585	59	64.6457	3.484399
GBMUT_C09_S129	318190	197411	62.04	0	88984	27.97	42232	13.27	5664	67	46.28248	1.319539
GBMUT_C10_S130	997574	770790	77.27	0	378922	37.98	242833	24.34	7537	75	85.52463	4.725676
GBMUT_C11_S131	494579	344670	69.69	0	156629	31.67	86777	17.55	6202	83	46.40368	1.992933
GBMUT_C12_S132	353907	199577	56.39	0	100420	28.37	51726	14.62	6016	91	88.43367	1.318307
GBMUT_D01_S133	346341	242996	70.16	0	112239	32.41	59977	17.32	6721	4	54.3904	1.276059
GBMUT_D02_S134	880500	663441	75.35	0	347678	39.49	210595	23.92	7035	12	59.09277	0.8942176
GBMUT_D03_S135	320933	193952	60.43	0	90793	28.29	53488	16.67	5783	20	46.43209	0.5644085
GBMUT_D04_S136	411154	307449	74.78	0	154139	37.49	96527	23.48	6545	28	50.65256	5.263788
GBMUT_D05_S137	254871	154715	60.7	0	70277	27.57	55538	21.79	5192	36	-999999	-999999
GBMUT_D06_S138	490405	356893	72.78	0	164446	33.53	76501	15.6	7929	44	90.35584	2.210902
GBMUT_D07_S139	32075	18405	57.38	0	13038	40.65	935	2.92	901	52	63.59887	2.628127
GBMUT_D08_S140	276979	178128	64.31	0	80038	28.9	42833	15.46	6331	60	53.39592	1.537318
GBMUT_D09_S141	261046	167552	64.18	0	76556	29.33	35124	13.46	6269	68	61.01671	1.878747
GBMUT_D10_S142	429408	302784	70.51	0	151760	35.34	107207	24.97	7284	76	108.3623	2.978025
GBMUT_D11_S143	767532	559835	72.94	0	305034	39.74	142148	18.52	5678	84	44.93727	1.729195
GBMUT_D12_S144	81660	36812	45.08	0	22558	27.62	7808	9.56	1729	92	45.54135	0.9854838
GBMUT_E01_S145	375654	287034	76.41	0	149122	39.7	75086	19.99	7393	5	64.17624	2.289286
