sample	fastq_frag_count	genome_mapped	tophat_genome_mapped	star_genome_mapped	trans_mapped	trans_mapped	rRNA_count	rRNA	gene_count	tube	mass 	mar	time					
T24hr_A01_S97	2869142	2578855	89.88	0	1944588	67.78	50629	1.76	7009	1	10.3204	-0.294865	24				865985.9115	40.31234375
T24hr_A02_S98	2849911	2399835	84.21	0	1884480	66.12	17560	0.62	4051	9	39.42983	3.260807	24				69856.67574	1.998848811
T24hr_A03_S99	533	34	6.38	-0.19	14	2.63	0	0	14	17	27.92372	0.9910473	24					
T24hr_A04_S100	957	45	4.7	-0.1	11	1.15	0	0	11	25	31.839	3.228509	24					
T24hr_A05_S101	821	110	13.4	-0.12	90	10.96	1	0.12	81	33	-9999999	-9999999	24					
T24hr_A06_S102	1687712	1471663	87.2	0	1070151	63.41	34693	2.06	5839	41	43.46083	5.016325	24					
T24hr_A07_S103	885	110	12.43	-0.11	77	8.7	0	0	69	49	40.21378	3.306131	24					
T24hr_A08_S104	3423	454	13.26	-0.03	284	8.3	9	0.26	232	57	55.82065	4.661465	24					
T24hr_A09_S105	8546	1069	12.51	-0.01	571	6.68	15	0.18	395	65	55.70735	3.422408	24					
T24hr_A10_S106	1059	90	8.5	-0.09	56	5.29	1	0.09	46	73	58.43832	4.236101	24					
T24hr_A11_S107	1414	185	13.08	-0.07	125	8.84	2	0.14	106	81	63.20283	4.42858	24					
T24hr_A12_S108	2335	77	3.3	-0.04	31	1.33	5	0.21	25	89	33.37803	1.487131	24					
T24hr_B01_S109	1481577	1238750	83.61	0	855053	57.71	50723	3.42	5500	2	33.09813	0.2255578	24					
T24hr_B02_S110	1126	349	30.99	-0.09	244	21.67	4	0.36	210	10	51.45745	2.869164	24					
T24hr_B03_S111	1246604	1022792	82.05	0	771239	61.87	9863	0.79	5202	18	36.11336	2.512838	24					
T24hr_B04_S112	1183	251	21.22	-0.08	160	13.52	7	0.59	149	26	32.31396	1.51348	24					
T24hr_B05_S113	1402504	1170900	83.49	0	924281	65.9	22882	1.63	5835	34	40.05935	3.061055	24					
T24hr_B06_S114	1195211	1030805	86.24	0	728734	60.97	26020	2.18	6876	42	49.93978	3.097375	24					
T24hr_B07_S115	2379	165	6.94	-0.04	49	2.06	1	0.04	48	50	32.97934	1.478081	24					
T24hr_B08_S116	1343624	1170545	87.12	0	863225	64.25	26830	2	7385	58	37.10727	3.487444	24					
T24hr_B09_S117	1639073	1165717	71.12	0	968587	59.09	12868	0.79	3177	66	68.70789	7.585482	24					
T24hr_B10_S118	1359711	1159210	85.25	0	768332	56.51	40187	2.96	6520	74	-9999999	-9999999	24					
T24hr_B11_S119	1978314	1662585	84.04	0	1314752	66.46	18929	0.96	5192	82	45.56859	3.178376	24					
T24hr_B12_S120	1510117	1239363	82.07	0	964922	63.9	16416	1.09	4752	90	45.10547	1.495607	24					
T24hr_C01_S121	1771089	1530836	86.43	0	1092496	61.68	44146	2.49	6593	3	37.62944	3.625478	24					
T24hr_C02_S122	3805	2497	65.62	-0.03	1943	51.06	22	0.58	1071	11	-9999999	-9999999	24					
T24hr_C03_S123	819	181	22.1	-0.12	120	14.65	2	0.24	104	19	35.80551	2.0939	24					
T24hr_C04_S124	1473	533	36.18	-0.07	356	24.17	9	0.61	301	27	42.19431	3.771707	24					
T24hr_C05_S125	1869614	1602255	85.7	0	1275167	68.2	23579	1.26	6662	35	49.80178	2.846314	24					
T24hr_C06_S126	1775754	1493603	84.11	0	1043704	58.78	51725	2.91	7110	43	51.8485	4.464339	24					
T24hr_C07_S127	2585793	2088488	80.77	0	1559485	60.31	12360	0.48	5259	51	31.81308	2.714431	24					
T24hr_C08_S128	2371887	2087517	88.01	0	1503001	63.37	42407	1.79	8117	59	67.70897	5.954072	24					
T24hr_C09_S129	2607654	2183277	83.73	0	1766631	67.75	12581	0.48	4883	67	55.0515	4.223382	24					
T24hr_C10_S130	1636058	1422476	86.95	0	998580	61.04	40063	2.45	7451	75	-9999999	-9999999	24					
T24hr_C11_S131	2583430	2227098	86.21	0	1723756	66.72	18186	0.7	6567	83	58.45917	4.593258	24					
T24hr_C12_S132	1776333	1319176	74.26	0	999447	56.26	25324	1.43	4902	91	31.66601	1.72404	24					
T24hr_D01_S133	1129758	959188	84.9	0	-1	0	-1	-1	-1	4	33.85901	0.3946252	24					
T24hr_D02_S134	2177912	1855521	85.2	0	1454679	66.79	7863	0.36	5510	12	49.15881	2.55653	24					
T24hr_D03_S135	278	41	14.75	-0.36	26	9.35	1	0.36	22	20	47.98827	4.366441	24					
T24hr_D04_S136	2253886	1586524	70.39	0	1281087	56.84	7969	0.35	3202	28	41.9836	2.530614	24					
T24hr_D05_S137	2292098	1950675	85.1	0	1546303	67.46	29261	1.28	6748	36	33.27518	3.589998	24					
T24hr_D06_S138	1425723	1185299	83.14	0	835784	58.62	49499	3.47	7027	44	44.4529	-3.57767	24					
T24hr_D07_S139	31	14	45.16	-3.23	7	22.58	0	0	7	52	29.32503	1.484204	24					
T24hr_D08_S140	1843947	1620216	87.87	0	1173359	63.63	34860	1.89	8005	60	33.53011	2.271218	24					
T24hr_D09_S141	2383471	1988109	83.41	0	1638602	68.75	12882	0.54	4833	68	56.4253	1.413362	24					
T24hr_D10_S142	1949329	1711015	87.77	0	1244306	63.83	51839	2.66	7572	76	55.71372	3.688023	24					
T24hr_D11_S143	2660326	2298189	86.39	0	1807628	67.95	19772	0.74	6589	84	58.76428	4.037889	24					
T24hr_D12_S144	265563	178343	67.16	0	137758	51.87	4007	1.51	3897	92	36.03371	2.358642	24					
T24hr_E01_S145	680800	105387	15.48	0	66778	9.81	6656	0.98	3474	5	40.40164	4.346262	24					
T24hr_E02_S146	24778	21050	84.95	0	16900	68.21	100	0.4	3115	13	43.15101	4.525971	24					
T24hr_E03_S147	113	81	71.68	-0.88	63	55.75	0	0	57	21	33.07716	2.9607	24					
T24hr_E04_S148	109131	76522	70.12	0	64072	58.71	414	0.38	2388	29	47.23309	4.585952	24					
T24hr_E05_S149	29263	24195	82.68	0	19295	65.94	384	1.31	3955	37	-9999999	-9999999	24					
T24hr_E06_S150	345727	303309	87.73	0	230681	66.72	8694	2.51	5881	45	53.31382	3.554675	24					
T24hr_E07_S151	525110	451115	85.91	0	313310	59.67	12788	2.44	4683	53	55.01579	3.857874	24					
T24hr_E08_S152	850143	709648	83.47	0	526123	61.89	18268	2.15	6259	61	27.10231	1.211978	24					
T24hr_E09_S153	383355	329614	85.98	0	258824	67.52	2005	0.52	4898	69	48.06027	2.987144	24					
T24hr_E10_S154	138831	107752	77.61	0	87746	63.2	4835	3.48	4018	77	36.99038	3.889709	24					
T24hr_E11_S155	590177	522621	88.55	0	426576	72.28	2560	0.43	5585	85	55.06733	3.588288	24					
T24hr_E12_S156	7393	5582	75.5	-0.01	4591	62.1	3	0.04	902	93	38.82513	3.509775	24					
T24hr_F01_S157	806913	713514	88.43	0	560344	69.44	11909	1.48	4758	6	44.58828	1.064953	24					
T24hr_F02_S158	1645569	1458400	88.63	0	1153957	70.13	35599	2.16	5988	14	58.51404	3.389131	24					
T24hr_F03_S159	1807	366	20.25	-0.06	288	15.94	3	0.17	240	22	27.04163	1.172023	24					
T24hr_F04_S160	1878	333	17.73	-0.05	246	13.1	12	0.64	204	30	22.45579	1.756284	24					
T24hr_F05_S161	2869	898	31.3	-0.03	687	23.95	26	0.91	484	38	61.47397	3.863245	24					
T24hr_F06_S162	4382	1497	34.16	-0.02	1051	23.98	97	2.21	682	46	42.02016	4.204159	24					
T24hr_F07_S163	2133307	1808396	84.77	0	1364870	63.98	16651	0.78	4208	54	38.15277	2.041571	24					
T24hr_F08_S164	1234419	1072612	86.89	0	802021	64.97	36020	2.92	5191	62	39.88711	2.596706	24					
T24hr_F09_S165	71614	58630	81.87	0	45875	64.06	1147	1.6	3729	70	45.86846	2.191037	24					
T24hr_F10_S166	1295476	1152156	88.94	0	953647	73.61	33764	2.61	5662	78	-9999999	-9999999	24					
T24hr_F11_S167	817	36	4.41	-0.12	9	1.1	2	0.24	8	86	-9999999	-9999999	24					
T24hr_F12_S168	407	16	3.93	-0.25	10	2.46	0	0	10	94	46.69989	4.227365	24					
T24hr_G01_S169	1385291	1221935	88.21	0	934615	67.47	26482	1.91	5872	7	54.04866	4.301651	24					
T24hr_G02_S170	1603230	1333560	83.18	0	944912	58.94	27446	1.71	4612	15	57.61413	3.037862	24					
T24hr_G03_S171	1989001	1729517	86.95	0	1384646	69.62	12680	0.64	4723	23	49.86193	1.757418	24					
T24hr_G04_S172	105383	76121	72.23	0	55241	52.42	191	0.18	1210	31	-9999999	-9999999	24					
T24hr_G05_S173	1151827	862590	74.89	0	634230	55.06	4410	0.38	2634	39	22.03794	0.4265724	24					
