sample	fastq_frag_count	tophat_genome_mapped	tophat_genome_mapped	star_genome_mapped	star_genome_mapped	trans_mapped	trans_mapped	custom_trans_mapped	custom_trans_mapped	rRNA_count	rRNA	gene_count	custom_gene_count	mass	mar	sample	day
FL51a_A01_S1	788690	687612	87.18	-1	0	553278	70.15	-1	0	96599	12.25	6450	-1	40.4419	2.82751	0	1
FL51a_A02_S2	960869	871436	90.69	-1	0	664108	69.12	-1	0	124676	12.98	7097	-1	47.50915	4.1986	0	1
FL51a_A03_S3	558926	444594	79.54	-1	0	305910	54.73	-1	0	35572	6.36	7456	-1	53.21832	3.895883	0	1
FL51a_A04_S4	634447	583079	91.9	-1	0	432637	68.19	-1	0	67662	10.66	7593	-1	67.69045	2.881468	0	1
FL51a_A05_S5	1101227	1025838	93.15	-1	0	740777	67.27	-1	0	132881	12.07	8478	-1	-999999	-999999	0	1
FL51a_A06_S6	1890634	1733296	91.68	-1	0	1307828	69.17	-1	0	240284	12.71	8134	-1	64.96811	5.148797	0	1
FL51a_A07_S7	2001282	1835638	91.72	-1	0	1319971	65.96	-1	0	87737	4.38	6880	-1	53.023	-1.243431	0	1
FL51a_A08_S8	2694217	2536874	94.16	-1	0	1972607	73.22	-1	0	327541	12.16	9056	-1	-999999	-999999	0	1
FL51a_A09_S9	778020	714567	91.84	-1	0	528033	67.87	-1	0	87067	11.19	6333	-1	50.65092	4.204076	0	1
FL51a_A10_S10	1596061	1471325	92.18	-1	0	1073917	67.29	-1	0	173558	10.87	8607	-1	92.2073	7.679277	0	1
FL51a_A11_S11	1247881	1151487	92.28	-1	0	808157	64.76	-1	0	100582	8.06	8401	-1	65.83135	4.188604	0	1
FL51a_A12_S12	1450801	1352385	93.22	-1	0	1025637	70.69	-1	0	75702	5.22	7641	-1	51.1953	3.51399	0	1
FL51a_B01_S13	669224	612994	91.6	-1	0	427728	63.91	-1	0	61086	9.13	6902	-1	49.63858	3.934606	0	1
FL51a_B02_S14	572441	523444	91.44	-1	0	366476	64.02	-1	0	55130	9.63	7221	-1	62.76347	4.875116	0	1
FL51a_B03_S15	302508	276972	91.56	-1	0	190626	63.02	-1	0	23398	7.73	6573	-1	54.36577	3.970934	0	1
FL51a_B04_S16	442459	407365	92.07	-1	0	279112	63.08	-1	0	34734	7.85	7167	-1	57.53688	4.17054	0	1
FL51a_B05_S17	503382	469312	93.23	-1	0	330428	65.64	-1	0	36989	7.35	8385	-1	-999999	-999999	0	1
FL51a_B06_S18	482458	442898	91.8	-1	0	304983	63.21	-1	0	42223	8.75	6625	-1	51.53884	2.680008	0	1
FL51a_B07_S19	1067240	998070	93.52	-1	0	753611	70.61	-1	0	94758	8.88	7679	-1	85.10693	6.401813	0	1
FL51a_B08_S20	21378	16237	75.95	-1	0	9483	44.36	-1	0	279	1.31	584	-1	53.36335	3.01445	0	1
FL51a_B09_S21	918593	856246	93.21	-1	0	654125	71.21	-1	0	97101	10.57	5845	-1	42.15453	3.196737	0	1
FL51a_B10_S22	393221	356237	90.59	-1	0	254226	64.65	-1	0	40695	10.35	6189	-1	41.44894	3.030841	0	1
FL51a_B11_S23	639429	590188	92.3	-1	0	399668	62.5	-1	0	53642	8.39	7555	-1	89.44941	2.952342	0	1
FL51a_B12_S24	805892	750053	93.07	-1	0	560594	69.56	-1	0	98396	12.21	5461	-1	39.24189	1.175362	0	1
FL51a_C01_S25	724914	616331	85.02	-1	0	398691	55	-1	0	7224	1	1526	-1	44.36751	2.989082	0	1
FL51a_C02_S26	550719	502331	91.21	-1	0	356385	64.71	-1	0	68194	12.38	6172	-1	44.23059	4.092252	0	1
FL51a_C03_S27	62581	55337	88.42	-1	0	36344	58.08	-1	0	8106	12.95	5108	-1	46.31589	3.452505	0	1
FL51a_C04_S28	897693	826018	92.02	-1	0	599264	66.76	-1	0	152084	16.94	6989	-1	58.66574	3.411604	0	1
FL51a_C05_S29	526533	487479	92.58	-1	0	337826	64.16	-1	0	71476	13.57	7988	-1	113.4584	6.076429	0	1
FL51a_C06_S30	248077	226927	91.47	-1	0	157672	63.56	-1	0	34202	13.79	6772	-1	62.47143	4.256069	0	1
FL51a_C07_S31	161132	146069	90.65	-1	0	99427	61.71	-1	0	21308	13.22	6269	-1	54.83983	1.792039	0	1
FL51a_C08_S32	634495	591690	93.25	-1	0	464597	73.22	-1	0	61029	9.62	5379	-1	49.85323	4.312077	0	1
