sample	fastq	pct_aligned	sample	gene_count	mass	mar	rsq	system
L1210serial_A01_S193	504148	66.84	1	7526	42.53273	2.759498	0	2
L1210serial_A02_S194	1381565	63.73	9	6565	40.8029	3.757589	0	2
L1210serial_A03_S195	2701159	63.84	33	8999	49.5089	6.281748	0	2
L1210serial_A04_S196	1210655	65.78	41	8135	99.23779	4.441496	0	2
L1210serial_A05_S197	2450180	67.06	49	8728	139.3922	2.696735	0	2
L1210serial_A06_S198	938158	68.34	57	6442	42.7265	5.520382	0	2
L1210serial_A07_S199	656571	63.28	97	5957	37.60836	1.495958	0	2
L1210serial_A08_S200	1639259	63.75	105	9161	97.12716	6.444871	0	2
L1210serial_A09_S201	827026	68.04	113	7201	72.19708	6.172036	0	2
L1210serial_A10_S202	235920	73.91	121	4508	49.24754	2.942299	0	2
L1210serial_A11_S203	2111735	74.51	129	6548	57.19803	5.481106	0	2
L1210serial_A12_S204	99197	67.37	137	4473	52.10715	5.552888	0	2
L1210serial_B01_S205	1639754	67.35	2	7274	54.58714	4.385747	0	2
L1210serial_B02_S206	2029655	65.36	10	6860	48.59005	3.744569	0	2
L1210serial_B03_S207	2767168	62.77	34	8043	33.54707	2.652188	0	2
L1210serial_B04_S208	2542942	65.15	42	8869	68.26604	4.16984	0	2
L1210serial_B05_S209	696455	70.47	50	6851	62.80728	7.108467	0	2
L1210serial_B06_S210	1694673	65.55	58	7709	59.99014	4.762329	0	2
L1210serial_B07_S211	760190	62.69	98	6569	50.74378	3.395478	0	2
L1210serial_B08_S212	420689	61.98	106	6549	47.89976	1.624748	0	2
L1210serial_B09_S213	1718844	67.47	114	7329	57.77109	5.353177	0	2
L1210serial_B10_S214	1398792	67.4	122	8467	112.9099	7.255557	0	2
L1210serial_B11_S215	323203	64.17	130	5957	45.12487	2.962468	0	2
L1210serial_B12_S216	560214	65.23	138	6148	40.43307	3.440101	0	2
L1210serial_C01_S217	4226157	64.58	3	7797	46.46908	2.530884	0	2
L1210serial_C02_S218	3973918	64.31	11	7351	41.25013	3.355802	0	2
L1210serial_C03_S219	3246954	67.4	35	7634	65.17737	7.076655	0	2
L1210serial_C04_S220	2615725	63.49	43	7641	51.41789	4.849692	0	2
L1210serial_C05_S221	1073482	71.42	51	6698	52.71304	3.958104	0	2
L1210serial_C06_S222	1461008	67.74	59	6729	41.20492	2.811126	0	2
L1210serial_C07_S223	1088478	61.51	99	6660	39.79741	1.79267	0	2
L1210serial_C08_S224	465601	67.81	107	6051	42.62785	3.783868	0	2
L1210serial_C09_S225	4164434	69.46	115	8346	71.48157	5.375519	0	2
L1210serial_C10_S226	306840	70.38	123	5999	42.81564	3.385262	0	2
L1210serial_C11_S227	1096347	69.37	131	7462	66.614	6.504579	0	2
L1210serial_C12_S228	461594	61.02	139	6330	45.37023	3.187833	0	2
L1210serial_D01_S229	2873820	71.75	4	7068	45.45598	3.477883	0	2
L1210serial_D02_S230	2401997	66.66	12	8195	75.87049	5.941256	0	2
L1210serial_D03_S231	2051598	63.85	36	7044	90.56451	1.586386	0	2
L1210serial_D04_S232	1643665	63.89	44	7100	45.53351	3.670862	0	2
L1210serial_D05_S233	1064956	69.93	52	7587	73.04698	7.211739	0	2
L1210serial_D06_S234	1769920	65.77	60	7895	74.65808	6.302828	0	2
L1210serial_D07_S235	1624883	63.38	100	7425	50.91138	3.849058	0	2
L1210serial_D08_S236	862317	69.76	108	7773	81.88948	5.739332	0	2
L1210serial_D09_S237	1388314	67.16	116	7231	47.85846	1.87279	0	2
L1210serial_D10_S238	1821414	65.35	124	7701	61.73294	8.603409	0	2
L1210serial_D11_S239	1931591	68.35	132	7532	61.48634	5.116357	0	2
L1210serial_D12_S240	1051813	60.51	140	6982	50.801	3.959316	0	2
L1210serial_E01_S241	2214843	64.07	5	6997	43.05179	3.577778	0	2
L1210serial_E02_S242	3418368	61.67	13	7882	68.89053	3.262521	0	2
L1210serial_E03_S243	2790175	64.19	37	7279	65.14029	7.121628	0	2
L1210serial_E04_S244	901724	65.15	45	7429	63.12355	6.142689	0	2
L1210serial_E05_S245	912994	71.38	53	7580	68.47487	8.866997	0	2
L1210serial_E06_S246	1980315	66.81	61	7500	65.40279	5.931431	0	2
L1210serial_E07_S247	1316860	65.44	101	7561	63.24003	4.499354	0	2
L1210serial_E08_S248	2844629	69.08	109	7785	68.84371	6.178378	0	2
L1210serial_E09_S249	3769660	65.91	117	8391	85.77993	5.840637	0	2
L1210serial_E10_S250	1839	49.21	125	533	99999	99999	0	2
L1210serial_E11_S251	1613534	71.2	133	7201	59.69791	4.940602	0	2
L1210serial_E12_S252	760250	64.52	141	6955	70.85136	7.019613	0	2
L1210serial_F01_S253	2863325	72.3	6	7565	64.08845	-0.2099021	0	2
L1210serial_F02_S254	3365514	70.28	14	7697	55.57038	5.433162	0	2
L1210serial_F03_S255	3428947	70.35	38	8353	83.65432	3.0875	0	2
L1210serial_F04_S256	2529688	73.45	46	7182	48.78078	4.678822	0	2
L1210serial_F05_S257	2482691	73.43	54	7735	60.05005	7.552681	0	2
L1210serial_F06_S258	900319	69.33	62	6843	53.6892	0.323728	0	2
L1210serial_F07_S259	2839092	73.5	102	8160	73.6591	5.273493	0	2
L1210serial_F08_S260	2869976	69.82	110	7746	57.63648	4.293567	0	2
L1210serial_F09_S261	1330861	69.98	118	7193	50.62978	3.90498	0	2
L1210serial_F10_S262	2398581	75.86	126	5678	44.89244	3.877737	0	2
L1210serial_F11_S263	3400354	70.71	134	7816	52.75684	4.805325	0	2
L1210serial_F12_S264	1586330	70.52	142	4382	43.45312	3.546918	0	2
L1210serial_G01_S265	1634664	66.85	7	7905	72.12527	6.089216	0	2
L1210serial_G02_S266	1540774	64.53	15	7393	53.09745	5.469683	0	2
L1210serial_G03_S267	1578491	62.52	39	7232	99999	99999	0	2
L1210serial_G04_S268	1346468	62.85	47	7494	59.85394	5.730955	0	2
L1210serial_G05_S269	1288852	64.99	55	7079	49.03091	3.727733	0	2
L1210serial_G06_S270	1585987	67.52	63	7438	59.50442	5.487002	0	2
