sample	fastq	pct_aligned	sample	gene_count	mass	mar	rsq	system
L1210trap_H01_S85_comb	1	1	1	3133	54.34422845	4.555365685	0.992924733	1
L1210trap_G01_S73_comb	1	1	2	6925	69.50637312	5.234757816	0.995168106	1
L1210trap_F01_S61_comb	1	1	3	7489	57.16254709	4.781957267	0.993963393	1
L1210trap_E01_S49_comb	1	1	4	6504	54.9703127	3.743590593	0.982759897	1
L1210trap_D01_S37_comb	1	1	5	7901	63.95728934	5.309769928	0.994957589	1
L1210trap_C01_S25_comb	1	1	6	7270	43.17913852	3.016714206	0.968965981	1
L1210trap_B01_S13_comb	1	1	7	6145	29.38525476	1.97274824	0.972917144	1
L1210trap_H02_S86_comb	1	1	8	3832	56.68741926	4.469743462	0.992290312	1
L1210trap_G02_S74_comb	1	1	9	7009	49.34582528	4.515184148	0.98647713	1
L1210trap_F02_S62_comb	1	1	10	7643	67.38030952	5.191746764	0.986169501	1
L1210trap_E02_S50_comb	1	1	11	7816	64.84258851	4.979555858	0.990506405	1
L1210trap_D02_S38_comb	1	1	12	7444	46.59851813	3.426113094	0.978420634	1
L1210trap_C02_S26_comb	1	1	13	7148	52.53026182	4.017261765	0.976904531	1
L1210trap_B02_S14_comb	1	1	14	6291	29.90592326	2.376094361	0.932253554	1
L1210trap_H03_S87_comb	1	1	15	5509	61.8122319	3.942907837	0.981397319	1
L1210trap_G03_S75_comb	1	1	16	6696	55.37539758	4.748192195	0.989143386	1
L1210trap_F03_S63_comb	1	1	17	6086	39.33118495	2.952450165	0.957288564	1
L1210trap_E03_S51_comb	1	1	18	7363	50.51012704	2.496478833	0.940460361	1
L1210trap_D03_S39_comb	1	1	19	3842	48.22973511	2.950841512	0.945073165	1
L1210trap_C03_S27_comb	1	1	20	7020	41.92216721	2.515631358	0.939043131	1
L1210trap_B03_S15_comb	1	1	21	1954	49.87425855	3.504178823	0.967515767	1
L1210trap_H04_S88_comb	1	1	22	329	64.11436652	4.732412925	0.985970912	1
L1210trap_G04_S76_comb	1	1	23	7285	63.03797428	5.605909496	0.977884822	1
L1210trap_F04_S64_comb	1	1	24	112	71.47473	4.500589603	0.976764229	1
L1210trap_E04_S52_comb	1	1	25	1543	48.14006118	3.812516677	0.988321498	1
L1210trap_D04_S40_comb	1	1	26	3094	40.7695623	3.126084096	0.978220291	1
L1210trap_C04_S28_comb	1	1	27	7060	39.82811787	2.755104845	0.9803058	1
L1210trap_B04_S16_comb	1	1	28	3626	55.33213308	2.628616143	0.758030765	1
L1210trap_H05_S89_comb	1	1	29	4785	45.36380224	3.590145371	0.993741327	1
L1210trap_G05_S77_comb	1	1	30	6883	58.84645801	4.051067473	0.995726099	1
L1210trap_F05_S65_comb	1	1	31	3373	48.1440867	3.003774698	0.99354382	1
L1210trap_E05_S53_comb	1	1	32	5286	50.18857115	3.926152288	0.996959011	1
L1210trap_D05_S41_comb	1	1	33	7416	53.09365025	3.772153557	0.995776361	1
L1210trap_C05_S29_comb	1	1	34	7057	44.79212085	2.756542341	0.988902916	1
L1210trap_B05_S17_comb	1	1	35	2678	33.4658297	2.572431679	0.980868951	1
L1210trap_H06_S90_comb	1	1	36	793	53.68116215	4.03895024	0.992315392	1
L1210trap_G06_S78_comb	1	1	37	7976	55.11864399	4.43713275	0.989370321	1
